MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
11TH WARD  - MCKEESPORT,2012,10,26.499302649930264,26.499302649930264,1
11TH WARD  - MCKEESPORT,2012,11,,,0
11TH WARD  - MCKEESPORT,2012,12,,,0
11TH WARD  - MCKEESPORT,2013,1,,,0
11TH WARD  - MCKEESPORT,2013,2,5.770016339869281,5.770016339869281,2
11TH WARD  - MCKEESPORT,2013,3,,,0
11TH WARD  - MCKEESPORT,2013,4,49.50389416408834,49.50389416408834,2
11TH WARD  - MCKEESPORT,2013,5,41.46341463414634,41.46341463414634,1
11TH WARD  - MCKEESPORT,2013,6,,,0
11TH WARD  - MCKEESPORT,2013,7,,,0
11TH WARD  - MCKEESPORT,2013,8,,,0
11TH WARD  - MCKEESPORT,2013,9,,,0
11TH WARD  - MCKEESPORT,2013,10,,,0
11TH WARD  - MCKEESPORT,2013,11,,,0
11TH WARD  - MCKEESPORT,2013,12,2.9793079941473795,2.9793079941473795,2
11TH WARD  - MCKEESPORT,2014,1,,,0
11TH WARD  - MCKEESPORT,2014,2,,,0
11TH WARD  - MCKEESPORT,2014,3,26.83067375886525,26.83067375886525,2
11TH WARD  - MCKEESPORT,2014,4,,,0
11TH WARD  - MCKEESPORT,2014,5,,,0
11TH WARD  - MCKEESPORT,2014,6,,,0
11TH WARD  - MCKEESPORT,2014,7,,,0
11TH WARD  - MCKEESPORT,2014,8,,,0
11TH WARD  - MCKEESPORT,2014,9,18.62745098039216,18.62745098039216,1
11TH WARD  - MCKEESPORT,2014,10,,,0
11TH WARD  - MCKEESPORT,2014,11,,,0
11TH WARD  - MCKEESPORT,2014,12,,,0
11TH WARD  - MCKEESPORT,2015,1,,,0
11TH WARD  - MCKEESPORT,2015,2,48.458149779735685,48.458149779735685,1
11TH WARD  - MCKEESPORT,2015,3,,,0
11TH WARD  - MCKEESPORT,2015,4,,,0
11TH WARD  - MCKEESPORT,2015,5,,,0
11TH WARD  - MCKEESPORT,2015,6,,,0
11TH WARD  - MCKEESPORT,2015,7,,,0
11TH WARD  - MCKEESPORT,2015,8,,,0
11TH WARD  - MCKEESPORT,2015,9,,,0
11TH WARD  - MCKEESPORT,2015,10,27.321614003856993,27.321614003856993,2
11TH WARD  - MCKEESPORT,2015,11,,,0
11TH WARD  - MCKEESPORT,2015,12,,,0
11TH WARD  - MCKEESPORT,2016,1,,,0
11TH WARD  - MCKEESPORT,2016,2,,,0
11TH WARD  - MCKEESPORT,2016,3,,,0
11TH WARD  - MCKEESPORT,2016,4,,,0
11TH WARD  - MCKEESPORT,2016,5,,,0
11TH WARD  - MCKEESPORT,2016,6,,,0
11TH WARD  - MCKEESPORT,2016,7,24.59016393442623,24.59016393442623,1
11TH WARD  - MCKEESPORT,2016,8,,,0
11TH WARD  - MCKEESPORT,2016,9,,,0
11TH WARD  - MCKEESPORT,2016,10,,,0
11TH WARD  - MCKEESPORT,2016,11,,,0
11TH WARD  - MCKEESPORT,2016,12,,,0
11TH WARD  - MCKEESPORT,2017,1,,,0
11TH WARD  - MCKEESPORT,2017,2,,,0
11TH WARD  - MCKEESPORT,2017,3,,,0
11TH WARD  - MCKEESPORT,2017,4,,,0
11TH WARD  - MCKEESPORT,2017,5,,,0
11TH WARD  - MCKEESPORT,2017,6,,,0
11TH WARD  - MCKEESPORT,2017,7,,,0
11TH WARD  - MCKEESPORT,2017,8,,,0
11TH WARD  - MCKEESPORT,2017,9,27.34375,27.34375,1
11TH WARD  - MCKEESPORT,2017,10,,,0
11TH WARD  - MCKEESPORT,2017,11,16.666666666666668,16.666666666666668,1
11TH WARD  - MCKEESPORT,2017,12,,,0
11TH WARD  - MCKEESPORT,2018,1,22.04928664072633,22.04928664072633,1
11TH WARD  - MCKEESPORT,2018,2,35.94016983379071,35.94016983379071,2
11TH WARD  - MCKEESPORT,2018,3,12.057877813504824,12.057877813504824,1
11TH WARD  - MCKEESPORT,2018,4,35.9775641025641,35.9775641025641,1
11TH WARD  - MCKEESPORT,2018,5,,,0
11TH WARD  - MCKEESPORT,2018,6,,,0
11TH WARD  - MCKEESPORT,2018,7,19.948519948519948,19.948519948519948,1
11TH WARD  - MCKEESPORT,2018,8,,,0
11TH WARD  - MCKEESPORT,2018,9,24.035067377805262,24.035067377805262,2
